TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:289,CPU-OMP,m2,1024,2,76908,100,1,740015,740
TIME:289,CPU-OMP,m2,1024,3,12737404,100,1,76485434,76562
TIME:303,CPU-OMP,m2,1024,2,76908,100,2,710424,711
TIME:303,CPU-OMP,m2,1024,3,12737404,100,2,75557000,75633
TIME:317,CPU-OMP,m2,1024,2,76908,100,3,723277,723
TIME:317,CPU-OMP,m2,1024,3,12737404,100,3,75227215,75302
TIME:331,CPU-OMP,m2,1024,2,76908,100,4,727091,727
TIME:331,CPU-OMP,m2,1024,3,12737404,100,4,76515882,76592
TIME:345,CPU-OMP,m2,1024,2,76908,100,8,721237,721
TIME:345,CPU-OMP,m2,1024,3,12737404,100,8,75387018,75462
TIME:359,CPU-OMP,m2,1024,2,76908,100,12,718170,718
TIME:359,CPU-OMP,m2,1024,3,12737404,100,12,76140667,76217
TIME:373,CPU-OMP,m2,1024,2,76908,100,16,716302,717
TIME:373,CPU-OMP,m2,1024,3,12737404,100,16,75931643,76008
TIME:387,CPU-OMP,m2,1024,2,76908,100,20,725033,725
TIME:387,CPU-OMP,m2,1024,3,12737404,100,20,76512501,76589
TIME:401,CPU-OMP,m2,1024,2,76908,100,24,710825,711
TIME:401,CPU-OMP,m2,1024,3,12737404,100,24,76308459,76385
TIME:415,CPU-OMP,m2,1024,2,76908,100,28,726190,726
TIME:415,CPU-OMP,m2,1024,3,12737404,100,28,76069898,76146
TIME:429,CPU-OMP,m2,1024,2,76908,100,32,718478,719
TIME:429,CPU-OMP,m2,1024,3,12737404,100,32,76094933,76171
TIME:443,CPU-OMP,m2,1024,2,76908,100,36,725265,725
TIME:443,CPU-OMP,m2,1024,3,12737404,100,36,76064032,76140
TIME:457,CPU-OMP,m2,1024,2,76908,100,40,735995,736
TIME:457,CPU-OMP,m2,1024,3,12737404,100,40,77080648,77158
TIME:471,CPU-OMP,m2,1024,2,76908,100,44,759618,760
TIME:471,CPU-OMP,m2,1024,3,12737404,100,44,77423848,77502
TIME:485,CPU-OMP,m2,1024,2,76908,100,48,779900,780
TIME:485,CPU-OMP,m2,1024,3,12737404,100,48,77204031,77281
