TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:78,CPU-OMP,m1,1024,2,76908,100,1,621735,622
TIME:78,CPU-OMP,m1,1024,3,12737404,100,1,62855926,62919
TIME:92,CPU-OMP,m1,1024,2,76908,100,2,624055,624
TIME:92,CPU-OMP,m1,1024,3,12737404,100,2,63492685,63556
TIME:106,CPU-OMP,m1,1024,2,76908,100,3,634430,635
TIME:106,CPU-OMP,m1,1024,3,12737404,100,3,63315188,63378
TIME:120,CPU-OMP,m1,1024,2,76908,100,4,627667,628
TIME:120,CPU-OMP,m1,1024,3,12737404,100,4,63413057,63476
TIME:134,CPU-OMP,m1,1024,2,76908,100,8,638677,639
TIME:134,CPU-OMP,m1,1024,3,12737404,100,8,63457751,63521
TIME:148,CPU-OMP,m1,1024,2,76908,100,12,653210,653
TIME:148,CPU-OMP,m1,1024,3,12737404,100,12,62545064,62607
TIME:162,CPU-OMP,m1,1024,2,76908,100,16,630280,630
TIME:162,CPU-OMP,m1,1024,3,12737404,100,16,63350379,63414
TIME:176,CPU-OMP,m1,1024,2,76908,100,20,643550,644
TIME:176,CPU-OMP,m1,1024,3,12737404,100,20,64277212,64341
TIME:190,CPU-OMP,m1,1024,2,76908,100,24,641991,642
TIME:190,CPU-OMP,m1,1024,3,12737404,100,24,63256555,63320
TIME:204,CPU-OMP,m1,1024,2,76908,100,28,644534,645
TIME:204,CPU-OMP,m1,1024,3,12737404,100,28,63303757,63367
TIME:218,CPU-OMP,m1,1024,2,76908,100,32,660861,661
TIME:218,CPU-OMP,m1,1024,3,12737404,100,32,63873498,63937
TIME:232,CPU-OMP,m1,1024,2,76908,100,36,651749,652
TIME:232,CPU-OMP,m1,1024,3,12737404,100,36,63625058,63688
TIME:246,CPU-OMP,m1,1024,2,76908,100,40,650287,650
TIME:246,CPU-OMP,m1,1024,3,12737404,100,40,62038944,62101
TIME:260,CPU-OMP,m1,1024,2,76908,100,44,664001,664
TIME:260,CPU-OMP,m1,1024,3,12737404,100,44,63328702,63392
TIME:274,CPU-OMP,m1,1024,2,76908,100,48,664438,665
TIME:274,CPU-OMP,m1,1024,3,12737404,100,48,65529284,65595
