TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,MS
TIME:76,CPU,1,1024,2,76908,100,1,83
TIME:76,CPU,1,1024,3,12737404,100,1,8250
TIME:94,CPU,1,1024,2,76908,100,2,45
TIME:94,CPU,1,1024,3,12737404,100,2,4318
TIME:116,CPU,1,1024,2,76908,100,3,31
TIME:116,CPU,1,1024,3,12737404,100,3,3036
TIME:142,CPU,1,1024,2,76908,100,4,25
TIME:142,CPU,1,1024,3,12737404,100,4,2296
TIME:172,CPU,1,1024,2,76908,100,8,15
TIME:172,CPU,1,1024,3,12737404,100,8,1310
TIME:218,CPU,1,1024,2,76908,100,12,9
TIME:218,CPU,1,1024,3,12737404,100,12,1058
TIME:280,CPU,1,1024,2,76908,100,16,8
TIME:280,CPU,1,1024,3,12737404,100,16,710
TIME:358,CPU,1,1024,2,76908,100,20,7
TIME:358,CPU,1,1024,3,12737404,100,20,621
TIME:452,CPU,1,1024,2,76908,100,24,6
TIME:452,CPU,1,1024,3,12737404,100,24,530
TIME:562,CPU,1,1024,2,76908,100,28,6
TIME:562,CPU,1,1024,3,12737404,100,28,488
TIME:688,CPU,1,1024,2,76908,100,32,5
TIME:688,CPU,1,1024,3,12737404,100,32,485
TIME:830,CPU,1,1024,2,76908,100,36,6
TIME:830,CPU,1,1024,3,12737404,100,36,465
TIME:988,CPU,1,1024,2,76908,100,40,4
TIME:988,CPU,1,1024,3,12737404,100,40,459
TIME:1162,CPU,1,1024,2,76908,100,44,5
TIME:1162,CPU,1,1024,3,12737404,100,44,466
TIME:1352,CPU,1,1024,2,76908,100,48,6
TIME:1352,CPU,1,1024,3,12737404,100,48,446
