TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:1561,AVX2,m2,1024,2,76908,104,1,90179,90
TIME:1561,AVX2,m2,1024,3,12737404,104,1,8874663,8883
TIME:1579,AVX2,m2,1024,2,76908,104,2,104606,52
TIME:1579,AVX2,m2,1024,3,12737404,104,2,9838193,4924
TIME:1601,AVX2,m2,1024,2,76908,104,3,111043,37
TIME:1601,AVX2,m2,1024,3,12737404,104,3,9829981,3280
TIME:1627,AVX2,m2,1024,2,76908,104,4,108827,27
TIME:1627,AVX2,m2,1024,3,12737404,104,4,9721175,2433
TIME:1657,AVX2,m2,1024,2,76908,104,8,115677,15
TIME:1657,AVX2,m2,1024,3,12737404,104,8,10989642,1376
TIME:1703,AVX2,m2,1024,2,76908,104,12,117474,10
TIME:1703,AVX2,m2,1024,3,12737404,104,12,11456848,956
TIME:1765,AVX2,m2,1024,2,76908,104,16,116215,8
TIME:1765,AVX2,m2,1024,3,12737404,104,16,12011013,752
TIME:1843,AVX2,m2,1024,2,76908,104,20,123873,7
TIME:1843,AVX2,m2,1024,3,12737404,104,20,12902689,647
TIME:1937,AVX2,m2,1024,2,76908,104,24,131642,6
TIME:1937,AVX2,m2,1024,3,12737404,104,24,14009368,585
TIME:2047,AVX2,m2,1024,2,76908,104,28,146388,7
TIME:2047,AVX2,m2,1024,3,12737404,104,28,17325787,625
TIME:2173,AVX2,m2,1024,2,76908,104,32,159303,7
TIME:2173,AVX2,m2,1024,3,12737404,104,32,18465059,591
TIME:2315,AVX2,m2,1024,2,76908,104,36,126572,5
TIME:2315,AVX2,m2,1024,3,12737404,104,36,17029690,488
TIME:2473,AVX2,m2,1024,2,76908,104,40,131565,6
TIME:2473,AVX2,m2,1024,3,12737404,104,40,17926277,479
TIME:2647,AVX2,m2,1024,2,76908,104,44,135308,7
TIME:2647,AVX2,m2,1024,3,12737404,104,44,19583596,470
TIME:2837,AVX2,m2,1024,2,76908,104,48,124345,8
TIME:2837,AVX2,m2,1024,3,12737404,104,48,21082116,461
