TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:1003,AVX2,m1,2048,2,76908,1000,8,931646,119
TIME:1003,AVX2,m1,2048,3,12737404,1000,8,109681030,13727
TIME:1003,AVX2,m1,2048,4,1043807448,1000,8,11531778806,1442923
TIME:1057,AVX2,m1,2048,2,76908,1000,16,1075400,72
TIME:1057,AVX2,m1,2048,3,12737404,1000,16,112410748,7038
TIME:1057,AVX2,m1,2048,4,1043807448,1000,16,13325577430,833699
TIME:1151,AVX2,m1,2048,2,76908,1000,24,1417416,64
TIME:1151,AVX2,m1,2048,3,12737404,1000,24,140844573,5884
TIME:1151,AVX2,m1,2048,4,1043807448,1000,24,16242218841,677469
TIME:1285,AVX2,m1,2048,2,76908,1000,32,1303542,59
TIME:1285,AVX2,m1,2048,3,12737404,1000,32,148241627,4655
TIME:1285,AVX2,m1,2048,4,1043807448,1000,32,15387828753,481404
TIME:1459,AVX2,m1,2048,2,76908,1000,40,1478359,56
TIME:1459,AVX2,m1,2048,3,12737404,1000,40,177267905,4483
TIME:1459,AVX2,m1,2048,4,1043807448,1000,40,18742083322,469101
TIME:1673,AVX2,m1,2048,2,76908,1000,48,1516397,53
TIME:1673,AVX2,m1,2048,3,12737404,1000,48,203631633,4352
TIME:1673,AVX2,m1,2048,4,1043807448,1000,48,21884963527,456556
