TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:2853,AVX2,m2,2048,2,76908,1000,8,1028790,132
TIME:2853,AVX2,m2,2048,3,12737404,1000,8,126899728,15884
TIME:2853,AVX2,m2,2048,4,1043807448,1000,8,13911537088,1740699
TIME:2907,AVX2,m2,2048,2,76908,1000,16,1187796,80
TIME:2907,AVX2,m2,2048,3,12737404,1000,16,131203823,8214
TIME:2907,AVX2,m2,2048,4,1043807448,1000,16,16120399191,1008575
TIME:3001,AVX2,m2,2048,2,76908,1000,24,1475689,68
TIME:3001,AVX2,m2,2048,3,12737404,1000,24,153972976,6434
TIME:3001,AVX2,m2,2048,4,1043807448,1000,24,19569198332,816237
TIME:3135,AVX2,m2,2048,2,76908,1000,32,1538073,56
TIME:3135,AVX2,m2,2048,3,12737404,1000,32,169015807,5304
TIME:3135,AVX2,m2,2048,4,1043807448,1000,32,18566212221,580842
TIME:3309,AVX2,m2,2048,2,76908,1000,40,1644663,62
TIME:3309,AVX2,m2,2048,3,12737404,1000,40,203973161,5134
TIME:3309,AVX2,m2,2048,4,1043807448,1000,40,22578954134,565132
TIME:3523,AVX2,m2,2048,2,76908,1000,48,1583117,65
TIME:3523,AVX2,m2,2048,3,12737404,1000,48,235922601,4992
TIME:3523,AVX2,m2,2048,4,1043807448,1000,48,26326946071,549184
