TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:78,AVX2,m1,2048,2,76908,104,8,179778,24
TIME:78,AVX2,m1,2048,3,12737404,104,8,15480318,1939
TIME:78,AVX2,m1,2048,4,1043807448,104,8,1282706961,160517
TIME:132,AVX2,m1,2048,2,76908,104,16,147167,15
TIME:132,AVX2,m1,2048,3,12737404,104,16,15047693,946
TIME:132,AVX2,m1,2048,4,1043807448,104,16,1497489631,93742
TIME:226,AVX2,m1,2048,2,76908,104,24,187578,9
TIME:226,AVX2,m1,2048,3,12737404,104,24,15900820,665
TIME:226,AVX2,m1,2048,4,1043807448,104,24,1549687840,64682
TIME:360,AVX2,m1,2048,2,76908,104,32,198614,9
TIME:360,AVX2,m1,2048,3,12737404,104,32,22714868,724
TIME:360,AVX2,m1,2048,4,1043807448,104,32,1728591589,54100
TIME:534,AVX2,m1,2048,2,76908,104,40,192084,9
TIME:534,AVX2,m1,2048,3,12737404,104,40,23963905,636
TIME:534,AVX2,m1,2048,4,1043807448,104,40,2111076159,52868
TIME:748,AVX2,m1,2048,2,76908,104,48,176324,7
TIME:748,AVX2,m1,2048,3,12737404,104,48,26547729,587
TIME:748,AVX2,m1,2048,4,1043807448,104,48,2480202384,51801
