TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:80,CPU-OMP,m1,1024,2,76908,100,1,619537,620
TIME:80,CPU-OMP,m1,1024,3,12737404,100,1,63414628,63478
TIME:94,CPU-OMP,m1,1024,2,76908,100,2,638575,639
TIME:94,CPU-OMP,m1,1024,3,12737404,100,2,71632085,37545
TIME:110,CPU-OMP,m1,1024,2,76908,100,3,627008,627
TIME:110,CPU-OMP,m1,1024,3,12737404,100,3,78632748,28483
TIME:127,CPU-OMP,m1,1024,2,76908,100,4,652404,653
TIME:127,CPU-OMP,m1,1024,3,12737404,100,4,81152663,22900
TIME:145,CPU-OMP,m1,1024,2,76908,100,8,631725,632
TIME:145,CPU-OMP,m1,1024,3,12737404,100,8,128215689,18936
TIME:167,CPU-OMP,m1,1024,2,76908,100,12,628392,629
TIME:167,CPU-OMP,m1,1024,3,12737404,100,12,128566477,13746
TIME:193,CPU-OMP,m1,1024,2,76908,100,16,633804,634
TIME:193,CPU-OMP,m1,1024,3,12737404,100,16,218442623,16804
TIME:223,CPU-OMP,m1,1024,2,76908,100,20,639519,640
TIME:223,CPU-OMP,m1,1024,3,12737404,100,20,232629238,14841
TIME:257,CPU-OMP,m1,1024,2,76908,100,24,646673,647
TIME:257,CPU-OMP,m1,1024,3,12737404,100,24,328510803,16964
TIME:295,CPU-OMP,m1,1024,2,76908,100,28,643842,644
TIME:295,CPU-OMP,m1,1024,3,12737404,100,28,361958580,16204
TIME:337,CPU-OMP,m1,1024,2,76908,100,32,645382,646
TIME:337,CPU-OMP,m1,1024,3,12737404,100,32,405678132,16000
TIME:383,CPU-OMP,m1,1024,2,76908,100,36,653822,654
TIME:383,CPU-OMP,m1,1024,3,12737404,100,36,382689278,13922
TIME:433,CPU-OMP,m1,1024,2,76908,100,40,660535,661
TIME:433,CPU-OMP,m1,1024,3,12737404,100,40,443868785,14446
TIME:487,CPU-OMP,m1,1024,2,76908,100,44,656659,657
TIME:487,CPU-OMP,m1,1024,3,12737404,100,44,385416132,12056
TIME:545,CPU-OMP,m1,1024,2,76908,100,48,663632,664
TIME:545,CPU-OMP,m1,1024,3,12737404,100,48,599011551,15853
