TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:1664,CPU-OMP,m2,1024,2,76908,1000,1,4143004,4147
TIME:1664,CPU-OMP,m2,1024,3,12737404,1000,1,658192855,658848
TIME:1678,CPU-OMP,m2,1024,2,76908,1000,2,4172919,4177
TIME:1678,CPU-OMP,m2,1024,3,12737404,1000,2,668164226,336665
TIME:1694,CPU-OMP,m2,1024,2,76908,1000,3,4211366,4215
TIME:1694,CPU-OMP,m2,1024,3,12737404,1000,3,750607112,253512
TIME:1711,CPU-OMP,m2,1024,2,76908,1000,4,4413547,4417
TIME:1711,CPU-OMP,m2,1024,3,12737404,1000,4,747881180,190602
TIME:1729,CPU-OMP,m2,1024,2,76908,1000,8,4303988,4308
TIME:1729,CPU-OMP,m2,1024,3,12737404,1000,8,939111502,121465
TIME:1751,CPU-OMP,m2,1024,2,76908,1000,12,4436682,4441
TIME:1751,CPU-OMP,m2,1024,3,12737404,1000,12,891201834,78531
TIME:1777,CPU-OMP,m2,1024,2,76908,1000,16,4342406,4346
TIME:1777,CPU-OMP,m2,1024,3,12737404,1000,16,1045500831,69674
TIME:1807,CPU-OMP,m2,1024,2,76908,1000,20,4303692,4307
TIME:1807,CPU-OMP,m2,1024,3,12737404,1000,20,1110917686,59926
TIME:1841,CPU-OMP,m2,1024,2,76908,1000,24,4389491,4393
TIME:1841,CPU-OMP,m2,1024,3,12737404,1000,24,1236954684,55909
TIME:1879,CPU-OMP,m2,1024,2,76908,1000,28,4584107,4588
TIME:1879,CPU-OMP,m2,1024,3,12737404,1000,28,1343400736,52462
TIME:1921,CPU-OMP,m2,1024,2,76908,1000,32,4447293,4451
TIME:1921,CPU-OMP,m2,1024,3,12737404,1000,32,1400771571,48254
TIME:1967,CPU-OMP,m2,1024,2,76908,1000,36,4718851,4723
TIME:1967,CPU-OMP,m2,1024,3,12737404,1000,36,1614322114,49266
TIME:2017,CPU-OMP,m2,1024,2,76908,1000,40,4620347,4624
TIME:2017,CPU-OMP,m2,1024,3,12737404,1000,40,1691150947,46734
TIME:2071,CPU-OMP,m2,1024,2,76908,1000,44,4628629,4633
TIME:2071,CPU-OMP,m2,1024,3,12737404,1000,44,1764980245,44641
TIME:2129,CPU-OMP,m2,1024,2,76908,1000,48,4513232,4517
TIME:2129,CPU-OMP,m2,1024,3,12737404,1000,48,1928982058,44672
