TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:608,CPU-OMP,m1,1024,2,76908,1000,1,3727700,3731
TIME:608,CPU-OMP,m1,1024,3,12737404,1000,1,564499088,565060
TIME:622,CPU-OMP,m1,1024,2,76908,1000,2,3709828,3713
TIME:622,CPU-OMP,m1,1024,3,12737404,1000,2,573327415,288654
TIME:638,CPU-OMP,m1,1024,2,76908,1000,3,3760441,3764
TIME:638,CPU-OMP,m1,1024,3,12737404,1000,3,590115777,199179
TIME:655,CPU-OMP,m1,1024,2,76908,1000,4,3840442,3844
TIME:655,CPU-OMP,m1,1024,3,12737404,1000,4,620484577,157866
TIME:673,CPU-OMP,m1,1024,2,76908,1000,8,3614382,3617
TIME:673,CPU-OMP,m1,1024,3,12737404,1000,8,685269649,88624
TIME:695,CPU-OMP,m1,1024,2,76908,1000,12,3772376,3776
TIME:695,CPU-OMP,m1,1024,3,12737404,1000,12,753847414,66051
TIME:721,CPU-OMP,m1,1024,2,76908,1000,16,3653956,3657
TIME:721,CPU-OMP,m1,1024,3,12737404,1000,16,807225537,53598
TIME:751,CPU-OMP,m1,1024,2,76908,1000,20,3705871,3709
TIME:751,CPU-OMP,m1,1024,3,12737404,1000,20,927251057,49547
TIME:785,CPU-OMP,m1,1024,2,76908,1000,24,3799276,3803
TIME:785,CPU-OMP,m1,1024,3,12737404,1000,24,997001123,44754
TIME:823,CPU-OMP,m1,1024,2,76908,1000,28,3764138,3767
TIME:823,CPU-OMP,m1,1024,3,12737404,1000,28,1105551431,42813
TIME:865,CPU-OMP,m1,1024,2,76908,1000,32,3904926,3908
TIME:865,CPU-OMP,m1,1024,3,12737404,1000,32,1177428447,40201
TIME:911,CPU-OMP,m1,1024,2,76908,1000,36,3944225,3948
TIME:911,CPU-OMP,m1,1024,3,12737404,1000,36,1315929728,39925
TIME:961,CPU-OMP,m1,1024,2,76908,1000,40,3866729,3870
TIME:961,CPU-OMP,m1,1024,3,12737404,1000,40,1424262607,38945
TIME:1015,CPU-OMP,m1,1024,2,76908,1000,44,4041770,4045
TIME:1015,CPU-OMP,m1,1024,3,12737404,1000,44,1574232151,39200
TIME:1073,CPU-OMP,m1,1024,2,76908,1000,48,3977624,3981
TIME:1073,CPU-OMP,m1,1024,3,12737404,1000,48,1740550835,39705
